,TI,AB,CARP (Yes/No),Exact/Lower-Bounds,Heuristics,Evolutionary,Variant,Alt_variant,Investigate,Comments,Source
"XING L, 2010, IEEE TRANS EVOL COMPUT",AN EVOLUTIONARY APPROACH TO THE MULTIDEPOT CAPACITATED ARC ROUTING PROBLEM,"THE CAPACITATED ARC ROUTING PROBLEM (CARP) IS A CHALLENGING VEHICLE ROUTING PROBLEM WITH NUMEROUS REAL WORLD APPLICATIONS. IN THIS PAPER, AN EXTENDED VERSION OF CARP, THE MULTIDEPOT CAPACITATED ARC ROUTING PROBLEM (MCARP), IS PRESENTED TO TACKLE PRACTICAL REQUIREMENTS. EXISTING CARP HEURISTICS ARE EXTENDED TO COPE WITH MCARP AND ARE INTEGRATED INTO A NOVEL EVOLUTIONARY FRAMEWORK: THE INITIAL POPULATION IS CONSTRUCTED EITHER BY RANDOM GENERATION, THE EXTENDED RANDOM PATH-SCANNING HEURISTIC, OR THE EXTENDED RANDOM ULUSOY'S HEURISTIC. SUBSEQUENTLY, MULTIPLE DISTINCT OPERATORS ARE EMPLOYED TO PERFORM SELECTION, CROSSOVER, AND MUTATION. FINALLY, THE PARTIAL REPLACEMENT PROCEDURE IS IMPLEMENTED TO MAINTAIN POPULATION DIVERSITY. THE PROPOSED EVOLUTIONARY APPROACH (EA) IS PRIMARILY CHARACTERIZED BY THE EXPLOITATION OF ATTRIBUTES FOUND IN NEAR-OPTIMAL MCARP SOLUTIONS THAT ARE OBTAINED THROUGHOUT THE EXECUTION OF THE ALGORITHM. TWO TECHNIQUES ARE EMPLOYED TOWARD THIS END: THE PERFORMANCE INFORMATION OF AN OPERATOR IS APPLIED TO SELECT FROM A RANGE OF OPERATORS FOR SELECTION, CROSSOVER, AND MUTATION. FURTHERMORE, THE ARC ASSIGNMENT PRIORITY INFORMATION IS EMPLOYED TO DETERMINE PROMISING POSITIONS ALONG THE GENOME FOR OPERATIONS OF CROSSOVER AND MUTATION. THE EA IS EVALUATED ON 107 INSTANCES WITH UP TO 140 NODES AND 380 ARCS. THE EXPERIMENTAL RESULTS SUGGEST THAT THE INTEGRATED EVOLUTIONARY FRAMEWORK SIGNIFICANTLY OUTPERFORMS THESE INDIVIDUAL EXTENDED HEURISTICS.",1,0,1,1,Multi-Depot Capacitated Arc Routing Problem,Multi-Depot Capacitated Arc Routing Problem,,,
"AMBERG A, 2000, EUR J OPER RES",MULTIPLE CENTER CAPACITATED ARC ROUTING PROBLEMS: A TABU SEARCH ALGORITHM USING CAPACITATED TREES,"IN THE CAPACITATED ARE ROUTING PROBLEM WITH MULTIPLE CENTERS (M-CARP) THE OBJECTIVE IS TO FIND ROUTES STARTING FROM THE GIVEN DEPOTS OR CENTERS SUCH THAT EACH REQUIRED ARE IS SERVED, CAPACITY (AND USUALLY ADDITIONAL) CONSTRAINTS ARE SATISFIED AND TOTAL TRAVEL COST IS MINIMIZED. IN THIS PAPER WE CONSIDER A HEURISTIC TRANSFORMATION OF THE M-CARP INTO A MULTIPLE CENTER CAPACITATED MINIMUM SPANNING TREE PROBLEM WITH ARE CONSTRAINTS, THAT WE CALL ARE-CONSTRAINED CMST. AN ALGORITHM FOR DETERMINING INITIAL FEASIBLE SOLUTIONS AS WELL AS AN IMPROVEMENT PROCEDURE FOR THIS PROBLEM ARE DESCRIBED AND THE ``RE-TRANSLATION'' OF",1,0,1,0,Multi-Depot Capacitated Arc Routing Problem,Multi-Depot Capacitated Arc Routing Problem,,,
"LIU T, 2014, FLEX SERV MANUF J",A GENETIC LOCAL SEARCH ALGORITHM FOR THE MULTI-DEPOT HETEROGENEOUS FLEET CAPACITATED ARC ROUTING PROBLEM,"THIS PAPER STUDIES THE MULTI-DEPOT HETEROGENEOUS FLEET CAPACITATED ARC ROUTING PROBLEM (MDHCARP), A PROBLEM WITH RARE RESEARCH IN THE PAST, BUT WITH MANY APPLICATIONS IN REAL LIFE. THE MDHCARP EXTENDS THE CAPACITATED ARC ROUTING PROBLEM (CARP) BY CONSIDERING BOTH THE MULTI-DEPOT CASE AND LIMITED HETEROGENEOUS FLEET CONSTRAINTS. WE PROPOSE A GENETIC LOCAL SEARCH (GLS) ALGORITHM FOR THE MDHCARP. THE GLS IS APPRAISED ON SIMPLIFIED MDHCARP CASES AND ON GENERAL MDHCARP INSTANCES FROM CARP FILES, AND COMPUTATIONAL RESULTS SHOW THAT THE GLS OUTPERFORMS AN EXTENDED MEMETIC ALGORITHM AND MEANWHILE THEY BOTH IMPROVE BEST-KNOWN SOLUTIONS OF THE SIMPLIFIED MDHCARP BENCHMARK CASES.",1,0,1,1,Multi-Depot Heterogeneous Capacitated Arc Routing Problem,Multi-Depot Heterogeneous Capacitated Arc Routing Problem,,,
"KRUSHINSKY D, 2015, EUR J OPER RES",AN APPROACH TO THE ASYMMETRIC MULTI-DEPOT CAPACITATED ARC ROUTING PROBLEM,"DESPITE THE FACT THAT THE CAPACITATED ARC ROUTING PROBLEMS (CARPS) RECEIVED SUBSTANTIAL ATTENTION IN THE LITERATURE, MOST OF THE RESEARCH CONCENTRATES ON THE SYMMETRIC AND SINGLE-DEPOT VERSION OF THE PROBLEM. IN THIS PAPER, WE FILL THIS GAP BY PROPOSING AN APPROACH TO SOLVING A MORE GENERAL VERSION OF THE PROBLEM AND ANALYSING ITS PROPERTIES. WE PRESENT AN MILP FORMULATION THAT ACCOMMODATES ASYMMETRIC MULTI-DEPOT CASE AND CONSIDER VALID INEQUALITIES THAT MAY BE USED TO TIGHTEN ITS LP RELAXATION. A SYMMETRY BREAKING SCHEME FOR A SINGLE-DEPOT CASE IS ALSO PROPOSED. AN EXTENSIVE NUMERICAL STUDY IS CARRIED TO INVESTIGATE THE PROPERTIES OF THE PROBLEM AND THE PROPOSED SOLUTION APPROACH. (C) 2015 ELSEVIER B.V. ALL RIGHTS RESERVED.",1,1,0,0,Multi-Depot Mixed Capacitated Arc Routing Problem,Multi-Depot Mixed Capacitated Arc Routing Problem,,,
"FUNG RYK, 2013, TRANSP RES PT E-LOGIST TRANSP REV",A MEMETIC ALGORITHM FOR THE OPEN CAPACITATED ARC ROUTING PROBLEM,"IN THIS PAPER, AN OPEN CAPACITATED ARC ROUTING PROBLEM (OCARP) IS DEFINED AND CONSIDERED. THE OCARP SEEKS TO FIND A SET OF MINIMUM-COST OPEN ROUTES THAT CAN SERVE THE TASKS (I.E., REQUIRED ARCS) OF A GIVEN GRAPH, SUBJECT TO THE VEHICLE CAPACITY AND TRAVEL DISTANCE. A MATHEMATICAL PROGRAMMING FORMULATION AND A LOWER BOUND ARE ESTABLISHED. AN EFFECTIVE MEMETIC ALGORITHM IS DEVELOPED FOR SOLVING THE OCARP. COMPUTATIONAL EXPERIMENTS DEMONSTRATE THAT THE PROPOSED ALGORITHM CAN PRODUCE HIGH QUALITY SOLUTIONS WITHIN A REASONABLE COMPUTATIONAL TIME SPAN, AND THE PROPOSED MEMETIC ALGORITHM IS SUPERIOR TO THE CLASSICAL GENETIC ALGORITHM IN SOLUTION QUALITY. (C) 2012 ELSEVIER LTD. ALL RIGHTS RESERVED.",1,1,1,1,Open Capacitated Arc Routing Problem,Open Capacitated Arc Routing Problem,,,
"ARAKAKI RK, 2018, COMPUT OPER RES",HYBRID GENETIC ALGORITHM FOR THE OPEN CAPACITATED ARC ROUTING PROBLEM,"THE OPEN CAPACITATED ARC ROUTING PROBLEM (OCARP) IS AN NP-HARD ARC ROUTING PROBLEM WHERE, GIVEN AN UNDIRECTED GRAPH, THE OBJECTIVE IS TO FIND THE LEAST COST SET OF ROUTES THAT SERVICES ALL EDGES WITH POSITIVE DEMAND (REQUIRED EDGES). THE ROUTES ARE SUBJECTED TO CAPACITY CONSTRAINTS IN RELATION TO EDGE DEMANDS. THE OCARP DIFFERS FROM THE CAPACITATED ARC ROUTING PROBLEM (CARP) SINCE OCARP DOES NOT CONSIDER A DEPOT AND ROUTES ARE NOT CONSTRAINED TO FORM CYCLES. A HYBRID GENETIC ALGORITHM WITH FEASIBILIZATION AND LOCAL SEARCH PROCEDURES IS PROPOSED FOR THE OCARP. COMPUTATIONAL EXPERIMENTS CONDUCTED ON A SET OF BENCHMARK INSTANCES REVEAL THAT THE PROPOSED HYBRID GENETIC ALGORITHM ACHIEVED THE BEST UPPER BOUNDS FOR ALMOST ALL INSTANCES. (C) 2017 ELSEVIER LTD. ALL RIGHTS RESERVED.",1,0,1,1,Open Capacitated Arc Routing Problem,Open Capacitated Arc Routing Problem,,,
"CELIK M, 2016, INT J PROD RES",ORDER PICKING IN A PARALLEL-AISLE WAREHOUSE WITH TURN PENALTIES,"IN MANY REAL-LIFE ROUTING PROBLEMS, INCORPORATING THE NEGATIVE EFFECTS OF TURNS IS AN IMPORTANT, BUT OFTEN OVERLOOKED ASPECT. THIS IS ESPECIALLY TRUE FOR ORDER PICKING IN WAREHOUSES, WHERE MAKING THE TURNS NOT ONLY DECREASES THE PICKING EFFICIENCY BY REDUCING THE SPEED OF THE VEHICLE, BUT IT ALSO RESULTS IN OTHER UNQUANTIFIABLE EFFECTS SUCH AS VEHICLE TIPOVERS, INCREASED CONGESTION AND INCREASED RISK OF COLLISION WITH PEDESTRIANS OR OTHER VEHICLES. IN THIS PAPER, WE CONSIDER THE ORDER PICKING PROBLEM IN A PARALLEL-AISLE WAREHOUSE BY TAKING INTO ACCOUNT THE NUMBER AND EFFECT OF THE TURNS. IN PARTICULAR, WE SHOW THAT THE PROBLEM OF MINIMISING THE NUMBER OF TURNS, MINIMISING TRAVEL TIME UNDER TURN PENALTIES, THE BIOBJECTIVE PROBLEM THAT INVOLVES TURN AND TRAVEL TIME MINIMISATION AS SEPARATE OBJECTIVES, AND THE TRIOBJECTIVE PROBLEM WITH U-TURN MINIMISATION AS A THIRD OBJECTIVE CAN ALL BE SOLVED IN POLYNOMIAL TIME. OUR COMPUTATIONAL RESULTS SHOW THAT THE ALGORITHMS WE DEVELOP CAN GENERATE THE CORRESPONDING PARETO FRONT VERY QUICKLY, AND SIGNIFICANTLY OUTPERFORM HEURISTIC APPROACHES USED IN PRACTICE.",0,,,,,Open Capacitated Arc Routing Problem,,,
"USBERTI FL, 2011, COMPUT OPER RES",THE OPEN CAPACITATED ARC ROUTING PROBLEM,"THE OPEN CAPACITATED ARC ROUTING PROBLEM (OCARP) IS A NP-HARD COMBINATORIAL OPTIMIZATION PROBLEM WHERE, GIVEN AN UNDIRECTED GRAPH, THE OBJECTIVE IS TO FIND A MINIMUM COST SET OF TOURS THAT SERVICES A SUBSET OF EDGES WITH POSITIVE DEMAND UNDER CAPACITY CONSTRAINTS. THIS PROBLEM IS RELATED TO THE CAPACITATED ARC ROUTING PROBLEM (CARP) BUT DIFFERS FROM IT SINCE OCARP DOES NOT CONSIDER A DEPOT, AND TOURS ARE NOT CONSTRAINED TO FORM CYCLES. APPLICATIONS TO OCARP FROM LITERATURE ARE DISCUSSED. A NEW INTEGER LINEAR PROGRAMMING FORMULATION IS GIVEN, FOLLOWED BY SOME PROPERTIES OF THE PROBLEM. A REACTIVE PATH-SCANNING HEURISTIC, GUIDED BY A COST-DEMAND EDGE-SELECTION AND ELLIPSE RULES, IS PROPOSED AND COMPARED WITH OTHER SUCCESSFUL CARP PATH-SCANNING HEURISTICS FROM LITERATURE. COMPUTATIONAL TESTS WERE CONDUCTED USING A SET OF 411 INSTANCES, DIVIDED INTO THREE CLASSES ACCORDING TO THE TIGHTNESS OF THE NUMBER OF VEHICLES AVAILABLE, RESULTS REVEAL THE FIRST LOWER AND UPPER BOUNDS, ALLOWING TO PROVE OPTIMALITY FOR 133 INSTANCES. (C) 2011 ELSEVIER LTD. ALL RIGHTS RESERVED.",1,1,1,0,Open Capacitated Arc Routing Problem,Open Capacitated Arc Routing Problem,,,
"MEI Y, 2011, IEEE TRANS SYST MAN CYBERN PART B-CYBERN",A MEMETIC ALGORITHM FOR PERIODIC CAPACITATED ARC ROUTING PROBLEM,"THIS PAPER INVESTIGATES THE PERIODIC CAPACITATED ARC ROUTING PROBLEM (PCARP), WHICH IS OFTEN ENCOUNTERED IN THE WASTE COLLECTION APPLICATION. PCARP IS AN EXTENSION OF THE WELL-KNOWN CAPACITATED ARC ROUTING PROBLEM (CARP) FROM A SINGLE PERIOD TO A MULTI-PERIOD HORIZON. PCARP IS A HIERARCHICAL OPTIMIZATION PROBLEM WHICH HAS A PRIMARY OBJECTIVE (MINIMIZING THE NUMBER OF VEHICLES MNV) AND A SECONDARY OBJECTIVE (MINIMIZING THE TOTAL COST TC). AN IMPORTANT FACTOR THAT MAKES PCARP CHALLENGING IS THAT ITS PRIMARY OBJECTIVE MNV IS LITTLE AFFECTED BY EXISTING OPERATORS AND THUS DIFFICULT TO IMPROVE. WE PROPOSE A NEW MEMETIC ALGORITHM (MA) FOR SOLVING PCARP. THE MA ADOPTS A NEW SOLUTION REPRESENTATION SCHEME AND A NOVEL CROSSOVER OPERATOR. MOST IMPORTANTLY, A ROUTE-MERGING (RM) PROCEDURE IS DEVISED AND EMBEDDED IN THE ALGORITHM TO TACKLE THE INSENSITIVE OBJECTIVE MNV. THE MA WITH RM (MARM) HAS BEEN COMPARED WITH EXISTING META-HEURISTIC APPROACHES ON TWO PCARP BENCHMARK SETS AND A REAL-WORLD DATA SET. THE EXPERIMENTAL RESULTS SHOW THAT MARM OBTAINED BETTER SOLUTIONS THAN THE COMPARED ALGORITHMS IN MUCH LESS TIME, AND EVEN UPDATED THE BEST KNOWN SOLUTIONS OF ALL THE BENCHMARK INSTANCES. FURTHER STUDY REVEALS THAT THE RM PROCEDURE PLAYS A KEY ROLE IN THE SUPERIOR PERFORMANCE OF MARM.",1,0,1,1,Periodic Capacitated Arc Routing Problem,Periodic Capacitated Arc Routing Problem,0,Minimise fleet size,
"NAGATA Y, 2012, EXPERT SYST APPL",A NEW GENETIC ALGORITHM FOR THE ASYMMETRIC TRAVELING SALESMAN PROBLEM,"THE ASYMMETRIC TRAVELING SALESMAN PROBLEM (ATSP) IS ONE OF THE MOST IMPORTANT COMBINATORIAL OPTIMIZATION PROBLEMS. IT ALLOWS US TO SOLVE, EITHER DIRECTLY OR THROUGH A TRANSFORMATION, MANY REAL-WORLD PROBLEMS. WE PRESENT IN THIS PAPER A NEW COMPETITIVE GENETIC ALGORITHM TO SOLVE THIS PROBLEM. THIS ALGORITHM HAS BEEN CHECKED ON A SET OF 153 BENCHMARK INSTANCES WITH KNOWN OPTIMAL SOLUTION AND IT OUTPERFORMS THE RESULTS OBTAINED WITH PREVIOUS ATSP HEURISTIC METHODS. (C) 2012 ELSEVIER LTD. ALL RIGHTS RESERVED.",0,,,,,Periodic Capacitated Arc Routing Problem,,,
"CHU F, 2005, EUR J OPER RES",A SCATTER SEARCH FOR THE PERIODIC CAPACITATED ARC ROUTING PROBLEM,"THIS PAPER CONSIDERS THE PERIODIC CAPACITATED ARC ROUTING PROBLEM (PCARP), A NATURAL EXTENSION OF THE WELL-KNOWN CARP TO A MULTI-PERIOD HORIZON. ITS OBJECTIVE IS TO ASSIGN A SET OF SERVICE DAYS TO EACH EDGE IN A GIVEN NETWORK AND TO SOLVE THE RESULTING CARP FOR EACH PERIOD, IN ORDER TO MINIMIZE THE REQUIRED FLEET SIZE AND THE TOTAL COST OF THE TRIPS ON THE HORIZON. THIS NEW AND VERY HARD PROBLEM HAS VARIOUS APPLICATIONS IN PERIODIC OPERATIONS ON STREET NETWORKS, LIKE WASTE COLLECTION AND SWEEPING. A GREEDY HEURISTIC AND A SCATTER SEARCH (SS) ARE DEVELOPED AND EVALUATED ON TWO SETS OF PCARP INSTANCES DERIVED FROM CLASSICAL CARP BENCHMARKS. THE RESULTS SHOW THAT THE SS STRONGLY IMPROVES ITS INITIAL SOLUTIONS AND CLEARLY OUTPERFORMS THE GREEDY HEURISTIC. PRELIMINARY LOWER BOUNDS ARE ALSO PROVIDED. AS THEY ARE NOT SUFFICIENTLY TIGHT, THE SS IS ALSO TESTED IN THE SINGLE-PERIOD CASE (CARP) FOR WHICH TIGHT BOUNDS ARE AVAILABLE: IN FACT, IT COMPETES WITH ONE STATE-OF-THE-ART METAHEURISTIC PROPOSED FOR THE CARP. (C) 2004 ELSEVIER B.V. ALL RIGHTS RESERVED.",1,0,1,0,Periodic Capacitated Arc Routing Problem,Periodic Capacitated Arc Routing Problem,,Minimise fleet size,
"LACOMME P, 2005, EUR J OPER RES",EVOLUTIONARY ALGORITHMS FOR PERIODIC ARC ROUTING PROBLEMS,"THE CAPACITATED ARC ROUTING PROBLEM (CARP) INVOLVES THE ROUTING OF VEHICLES TO TREAT A SET OF ARCS IN A NETWORK. IN MANY APPLICATIONS, THE TRIPS MUST BE PLANNED OVER A MULTIPERIOD HORIZON, GIVING A NEW PROBLEM CALLED PERIODIC CARP (PCARP). THE PAPER DESCRIBES SEVERAL VERSIONS ENCOUNTERED IN PRACTICE AND SUGGESTS A SIMPLE CLASSIFICATION, ENABLING THE DEFINITION OF A VERY GENERAL PCARP. FOR INSTANCE, THE DEMAND FOR EACH ARC TREATMENT MAY DEPEND ON THE PERIOD OR ON THE DATE OF THE PREVIOUS VISIT. THE PROPOSED SOLUTION METHOD IS A MEMETIC ALGORITHM BASED ON A SOPHISTICATED CROSSOVER, ABLE TO SIMULTANEOUSLY CHANGE TACTICAL (PLANNING) DECISIONS, SUCH AS THE TREATMENT DAYS OF EACH ARC, AND OPERATIONAL (SCHEDULING) DECISIONS, SUCH AS THE TRIPS PERFORMED FOR EACH DAY. TWO VERSIONS ARE APPRAISED ON TWO SETS OF PCARP INSTANCES DERIVED FROM STANDARD CARP FILES. THE RESULTS SHOW SIGNIFICANT SAVINGS COMPARED TO ONE INSERTION HEURISTIC AND A MORE ELABORATE TWO-PHASE METHOD. (C) 2004 ELSEVIER B.V. ALL RIGHTS RESERVED.",1,0,1,1,Periodic Capacitated Arc Routing Problem,Periodic Capacitated Arc Routing Problem,,,
"CHU F, 2005, J INTELL MANUF",HEURISTICS FOR THE PERIODIC CAPACITATED ARC ROUTING PROBLEM,"THE CAPACITATED ARC ROUTING PROBLEM (CARP) INVOLVES THE ROUTING OF VEHICLES TO SERVICE A SET OF ARCS IN A NETWORK. THIS NP-HARD PROBLEM IS EXTENDED TO A MULTIPERIOD HORIZON, GIVING A NEW TACTICAL PROBLEM CALLED THE PERIODIC CARP (PCARP). THIS PROBLEM ACTUALLY OCCURS IN MUNICIPAL WASTE COLLECTION. ITS OBJECTIVE IS TO ASSIGN ARCS TO PERIODS AND TO COMPUTE THE TRIPS IN EACH PERIOD, TO MINIMIZE AN OVERALL COST ON THE HORIZON. AN INTEGER LINEAR PROGRAM, TWO INSERTION HEURISTICS AND A TWO-PHASE HEURISTIC ARE DEVELOPED. THESE VERY FIRST ALGORITHMS FOR THE PCARP ARE EVALUATED ON PCARP INSTANCES DERIVED FROM STANDARD CARP BENCHMARKS FROM LITERATURE: THE INSERTION HEURISTICS ARE VERY FAST BUT THE TWO-PHASE METHOD YIELDS BETTER SOLUTION COSTS.",1,0,1,0,Periodic Capacitated Arc Routing Problem,Periodic Capacitated Arc Routing Problem,,,
"ZHANG Y, 2017, APPL SOFT COMPUT",MEMETIC ALGORITHM WITH ROUTE DECOMPOSING FOR PERIODIC CAPACITATED ARC ROUTING PROBLEM,"IN THIS PAPER,HE PERIODIC CAPACITATED ARC ROUTING PROBLEM (PCARP) IS INVESTIGATED. PCARP IS AN EXTENSIONOF THE WELL-KNOWN CARP FROM A SINGLE PERIOD TO A MULTI-PERIOD HORIZON. IN PCARP, TWO OBJECTIVES ARE TOBE MINIMIZED. ONE IS THE NUMBER OF REQUIRED VEHICLES (NV), AND THE OTHER IS THE TOTAL COST (TC). DUE TO THE MULTI-PERIOD NATURE, GIVEN THE SAME GRAPH OR ROAD NETWORK, PCARP CAN HAVE A MUCH LARGER SOLUTION SPACE THAN THE SINGLE-PERIOD CARP COUNTERPART. FURTHERMORE, PCARP CONSISTS OF AN ADDITIONAL ALLOCATION SUB-PROBLEM (OF THE DAYS TO SERVE THE ARCS), WHICH IS INTERDEPENDENT WITH THE ROUTING SUB-PROBLEM. ALTHOUGH SOME ATTEMPTS HAVE BEEN MADE FOR SOLVING PCARP, MORE INVESTIGATIONS ARE YET TO BE DONE TO FURTHER IMPROVE THEIR PERFORMANCE ESPECIALLY ON LARGE-SCALE PROBLEM INSTANCES. IT HAS BEEN SHOWN THAT OPTIMIZING NV AND TC SEPARATELY (HIERARCHICALLY) IS A GOOD WAY OF DEALING WITH THE TWO OBJECTIVES. IN THIS PAPER, WE FURTHER IMPROVE THIS STRATEGY AND PROPOSE A NEW ROUTE DECOMPOSITION (RD) OPERATORTHEREBY. THEN, THE RD OPERATOR IS INTEGRATED INTO A MEMETIC ALGORITHM (MA) FRAMEWORK FOR PCARP, IN WHICH NOVEL CROSSOVER AND LOCAL SEARCH OPERATORS ARE DESIGNED ACCORDINGLY. IN ADDITION, TO IMPROVE THE SEARCH EFFICIENCY, A HYBRIDIZED INITIALIZATION IS EMPLOYED TO GENERATE AN INITIAL POPULATION CONSISTING OF BOTH HEURISTIC AND RANDOM INDIVIDUALS. THE MA WITH RD (MARD) WAS EVALUATED AND COMPARED WITHTHE STATE-OF-THE-ART APPROACHES ON TWO BENCHMARK SETS OF PCARP INSTANCES AND A LARGE DATA SET WHICH IS BASED ON A REAL-WORLD ROAD NETWORK. THE EXPERIMENTAL RESULTS SUGGEST THAT MARD OUTPERFORMS THE COMPARED STATE-OF-THE-ART ALGORITHMS, AND IMPROVES MOST OF THE BEST-KNOWN SOLUTIONS. THE ADVANTAGE OF MARD BECOMES MORE OBVIOUS WHEN THE PROBLEM SIZE INCREASES. THUS, MARD IS PARTICULARLY EFFECTIVE IN SOLVING LARGE-SCALE PCARP INSTANCES. MOREOVER, THE EFFICACY OF THE PROPOSED RD OPERATOR IN MARD HAS BEEN EMPIRICALLY VERIFIED. (C) 2016 ELSEVIER B.V. ALL RIGHTS RESERVED.",1,0,1,1,Periodic Capacitated Arc Routing Problem,Periodic Capacitated Arc Routing Problem,,Bi-objective,
"HUANG SH, 2012, AUTOM CONSTR",MULTI-TREATMENT CAPACITATED ARC ROUTING OF CONSTRUCTION MACHINERY IN TAIWAN'S SMOOTH ROAD PROJECT,"THIS STUDY INVESTIGATES THE ROUTING PROBLEMS OF ROAD RESURFACING IN TAIWAN'S SMOOTH ROAD PROJECT, INCORPORATING MULTIPLE TREATMENTS SERVED BY DIFFERENT CONSTRUCTION MACHINERY IN A WAY THAT PROPAGATES EXTRA TIME WINDOW CONSTRAINTS TO ENSURE THAT A SUBSEQUENT TREATMENT STARTS AFTER THE REQUIRED PRECEDING TREATMENT HAS STARTED OR BEEN COMPLETED. THE ROUTING PROBLEM IS MODELED AS A MULTI-TREATMENT CAPACITATED ARC ROUTING PROBLEM WITH TIME WINDOWS (MTCARPTW) IN ORDER TO DETERMINE A SET OF TRIPS AT A MINIMUM TOTAL COST THAT COVERS ALL REQUIRED LINKS OF ROAD RESURFACING WORK. THE MTCARPTW IS FIRST TRANSFORMED INTO A TRAVELING SALESMAN PROBLEM (TSP), THEN, A HEURISTICS METHOD BASED ON ANT COLONY OPTIMIZATION (ACO) IS APPLIED AND EVALUATED BASED ON THE SET OF GIVEN CIRCUMSTANCES. THE COMPUTATIONAL RESULTS INDICATE THAT THE PROPOSED ALGORITHM IS EFFICIENT. THIS RESEARCH CONTRIBUTES TO IDENTIFYING A NEW ROUTING PROBLEM, MODELING THIS MTCARPTW, AND INTRODUCING THE ACO TO SOLVE THE PROBLEM EFFICIENTLY. (C) 2011 ELSEVIER B.V. ALL RIGHTS RESERVED.",1,0,1,0,Periodic Capacitated Arc Routing Problem,Periodic Capacitated Arc Routing Problem,,,
"CHU F, 2004, SERVICE SYSTEMS AND SERVICE MANAGEMENT - PROCEEDINGS OF ICSSSM `04, VOLS 1 AND 2","THE PERIODIC CAPACITATED ARC ROUTING PROBLEM: LINEAR PROGRAMMING MODEL, METAHEURISTIC AND LOWER BOUNDS","THE PERIODIC CAPACITATED ARC ROUTING PROBLEM (PCARP) GENERALIZES THE WELL KNOWN NP-HARD CAPACITATED ARC ROUTING PROBLEM (CARP) BY EXTENDING THE SINGLE PERIOD TO MULTI-PERIOD HORIZON. THE CAPACITATED ARC ROUTING PROBLEM (CARP) IS DEFINED ON AN UNDIRECTED NETWORK IN WHICH A FLEET OF IDENTICAL VEHICLES IS BASED AT A DEPOT NODE. A SUBSET OF EDGES, THE TASKS, MUST BE SERVICED BY A VEHICLE. THE CARP CONSISTS OF DETERMINING A SET OF FEASIBLE VEHICLE TRIPS THAT MINIMIZES THE TOTAL COST OF TRAVERSED EDGES. THE PCARP INVOLVES THE ASSIGNMENT OF TASKS TO PERIODS AND THE DETERMINATION OF VEHICLES TRIPS OF IN EACH PERIOD, TO MINIMIZE THE TOTAL COST ON THE WHOLE HORIZON. THIS NEW PROBLEM IS ENCOUNTERED IN VARIOUS REAL LIFE APPLICATIONS SUCH AS WASTE COLLECTION, MAIL DELIVERY, ETC. IN THIS PAPER, A NEW LINEAR PROGRAMMING MODEL AND THE FIRST LOWER BOUNDS BASED ON A GRAPH TRANSFORMATION ARE PROPOSED. A METAHEURISTIC APPROACH - SCATTER SEARCH (SS) - FOR THE PCARP IS DEVELOPED AND EVALUATED ON A LARGE VARIETY OF INSTANCES.",1,1,1,0,Periodic Capacitated Arc Routing Problem,Periodic Capacitated Arc Routing Problem,,,
"CHEN Y, 2018, EUR J OPER RES",TWO PHASED HYBRID LOCAL SEARCH FOR THE PERIODIC CAPACITATED ARC ROUTING PROBLEM,"THE PERIODIC CAPACITATED ARC ROUTING PROBLEM (PCARP) IS A CHALLENGING GENERAL MODEL WITH IMPORTANT APPLICATIONS. THE PCARP HAS TWO HIERARCHICAL OPTIMIZATION OBJECTIVES: A PRIMARY OBJECTIVE OF MINIMIZING THE NUMBER OF VEHICLES (F-V) AND A SECONDARY OBJECTIVE OF MINIMIZING THE TOTAL COST (FE). IN THIS PAPER, WE PROPOSE AN EFFECTIVE TWO PHASED HYBRID LOCAL SEARCH (HLS) ALGORITHM FOR THE PCARP. THE FIRST PHASE MAKES A PARTICULAR EFFORT TO OPTIMIZE THE PRIMARY OBJECTIVE WHILE THE SECOND PHASE SEEKS TO FURTHER OPTIMIZE BOTH OBJECTIVES BY USING THE RESULTING NUMBER OF VEHICLES OF THE FIRST PHASE AS AN UPPER BOUND TO PRUNE THE SEARCH SPACE. FOR BOTH PHASES, COMBINED LOCAL SEARCH HEURISTICS ARE DEVISED TO ENSURE AN EFFECTIVE EXPLORATION OF THE SEARCH SPACE. EXPERIMENTAL RESULTS ON 63 BENCHMARK INSTANCES DEMONSTRATE THAT HLS PERFORMS REMARKABLY WELL BOTH IN TERMS OF COMPUTATIONAL EFFICIENCY AND SOLUTION QUALITY. IN PARTICULAR, HLS DISCOVERS 44 IMPROVED BEST KNOWN VALUES (NEW UPPER BOUNDS) FOR THE TOTAL COST OBJECTIVE PC WHILE ATTAINING ALL THE KNOWN OPTIMAL VALUES REGARDING THE OBJECTIVE OF THE NUMBER OF VEHICLES F-V. TO OUR KNOWLEDGE, THIS IS THE FIRST PCARP ALGORITHM REACHING SUCH A PERFORMANCE. KEY COMPONENTS OF HLS ARE ANALYZED TO BETTER UNDERSTAND THEIR CONTRIBUTIONS TO THE OVERALL PERFORMANCE. (C) 2017 ELSEVIER B.V. ALL RIGHTS RESERVED.",1,0,1,0,Periodic Capacitated Arc Routing Problem,Periodic Capacitated Arc Routing Problem,,,
