X,TI,AB,CARP..Yes.No.,Exact.Lower.Bounds,Heuristics,Evolutionary,Variant,Alt_variant,Investigate,Comments,Source,author,year,title,journal
"ZHU Z, 2007, 2007 IEEE INTERNATIONAL CONFERENCE ON AUTOMATION AND LOGISTICS, VOLS 1-6",A HYBRID GENETIC ALGORITHM FOR THE MULTIPLE DEPOT CAPACITATED ARC ROUTING PROBLEM,"THIS PAPER PRESENTS A NEW HYBRID GENETIC ALGORITHM (HGA) FOR THE MULTIPLE DEPOT CAPACITATED ARC ROUTING PROBLEM (MDCARP) WITH HOMOGENEOUS VEHICLES. THIS ALGORITHM IMPROVES THE TRADITIONAL-GENETIC ALGORITHM (TGA) ON THE BASIS OF THE PARTHENO-GENETIC ALGORITHM (PGA), WHICH CAN AVOID THE PREMATURE CONVERGENCE EFFECTIVELY AND OVERCOME THE INEFFICIENT PROBLEM OF EXISTING HEURISTIC ALGORITHMS. THE BACKGROUND OF OUR STUDY IS ASSIGNING THE ROUTES OF SPRINKLERS, SO COMPUTATIONAL EXPERIMENTS ARE DONE WITH THE REAL-LIFE DATA PROVIDED BY THE SANITATION DEPARTMENT OF CHONGQING CITY IN CHINA, AND THE COMPUTATIONAL RESULTS REVEAL THAT THE PROPOSED HGA CAN SOLVE MDCARP EFFECTIVELY. FURTHERMORE, TWO COMPARISON EXPERIMENTS FOR THE SINGLE DEPOT CAPACITATED ARC ROUTING PROBLEM (I-CARP) SHOW THAT THIS ALGORITHM CAN ALSO SOLVE THE 1-CARP WITH BETTER RESULT AND MUCH HIGHER EFFICIENCY THAN THE BEST METAHEURISTIC PUBLISHED.",1,0,1,1,Multi-Depot Capacitated Arc Routing Problem,Multi-Depot Capacitated Arc Routing Problem,,,,MANIEZZO V;ROFFILLI M,2008,ALGORITHMS FOR LARGE DIRECTED CAPACITATED ARC ROUTING PROBLEM INSTANCES URBAN SOLID WASTE COLLECTION OPERATIONAL SUPPORT,RECENT ADVANCES IN EVOLUTIONARY COMPUTATION FOR COMBINATORIAL OPTIMIZATION
"KANSOU A, 2009, CIE: 2009 INTERNATIONAL CONFERENCE ON COMPUTERS AND INDUSTRIAL ENGINEERING, VOLS 1-3",A TWO ANT COLONY APPROACHES FOR THE MULTI-DEPOT CAPACITATED ARC ROUTING PROBLEM,"THIS PAPER DEALS WITH THE CAPACITATED ARC ROUTING PROBLEM WITH MULTIPLE DEPOTS (MD-CARP), A VARIANT OF THE CLASSICAL CARP PROBLEM. THE MD-CARP IS NP-HARD, TO RESOLVE HIM EFFICIENTLY, TWO ANT COLONY APPROACHES (ACS) ARE DEVELOPED. THE FIRST AC1, IS A HYBRID APPROACH CONSISTING OF TWO STAGES: OPTIMIZATION OF THE TASKS ORDER FOR THE INSERTION BY THE ANT COLONY OPTIMIZATION AND THE INSERTION OF TASKS BY AN HEURISTIC SAVING METHOD. A GENERALIZATION FOR THE SPLITTING METHOD OF ULUSOY IS INCORPORATED WITH THE ANT COLONY OPTIMIZATION IN THE SECOND APPROACH, CALLED AC2. COMPUTATIONAL EXPERIMENTS CARRIED OUT ON INSTANCES TAKEN FROM THE LITERATURE PROVE THE PERFORMANCE OF THE PROPOSED METHODS.",1,0,1,1,Multi-Depot Capacitated Arc Routing Problem,Multi-Depot Capacitated Arc Routing Problem,,,,LABADI N;PRINS C;REGHIOUI M,2008,AN EVOLUTIONARY ALGORITHM WITH DISTANCE MEASURE FOR THE SPLIT DELIVERY CAPACITATED ARC ROUTING PROBLEM,RECENT ADVANCES IN EVOLUTIONARY COMPUTATION FOR COMBINATORIAL OPTIMIZATION
"XING L, 2010, IEEE TRANS EVOL COMPUT",AN EVOLUTIONARY APPROACH TO THE MULTIDEPOT CAPACITATED ARC ROUTING PROBLEM,"THE CAPACITATED ARC ROUTING PROBLEM (CARP) IS A CHALLENGING VEHICLE ROUTING PROBLEM WITH NUMEROUS REAL WORLD APPLICATIONS. IN THIS PAPER, AN EXTENDED VERSION OF CARP, THE MULTIDEPOT CAPACITATED ARC ROUTING PROBLEM (MCARP), IS PRESENTED TO TACKLE PRACTICAL REQUIREMENTS. EXISTING CARP HEURISTICS ARE EXTENDED TO COPE WITH MCARP AND ARE INTEGRATED INTO A NOVEL EVOLUTIONARY FRAMEWORK: THE INITIAL POPULATION IS CONSTRUCTED EITHER BY RANDOM GENERATION, THE EXTENDED RANDOM PATH-SCANNING HEURISTIC, OR THE EXTENDED RANDOM ULUSOY'S HEURISTIC. SUBSEQUENTLY, MULTIPLE DISTINCT OPERATORS ARE EMPLOYED TO PERFORM SELECTION, CROSSOVER, AND MUTATION. FINALLY, THE PARTIAL REPLACEMENT PROCEDURE IS IMPLEMENTED TO MAINTAIN POPULATION DIVERSITY. THE PROPOSED EVOLUTIONARY APPROACH (EA) IS PRIMARILY CHARACTERIZED BY THE EXPLOITATION OF ATTRIBUTES FOUND IN NEAR-OPTIMAL MCARP SOLUTIONS THAT ARE OBTAINED THROUGHOUT THE EXECUTION OF THE ALGORITHM. TWO TECHNIQUES ARE EMPLOYED TOWARD THIS END: THE PERFORMANCE INFORMATION OF AN OPERATOR IS APPLIED TO SELECT FROM A RANGE OF OPERATORS FOR SELECTION, CROSSOVER, AND MUTATION. FURTHERMORE, THE ARC ASSIGNMENT PRIORITY INFORMATION IS EMPLOYED TO DETERMINE PROMISING POSITIONS ALONG THE GENOME FOR OPERATIONS OF CROSSOVER AND MUTATION. THE EA IS EVALUATED ON 107 INSTANCES WITH UP TO 140 NODES AND 380 ARCS. THE EXPERIMENTAL RESULTS SUGGEST THAT THE INTEGRATED EVOLUTIONARY FRAMEWORK SIGNIFICANTLY OUTPERFORMS THESE INDIVIDUAL EXTENDED HEURISTICS.",1,0,1,1,Multi-Depot Capacitated Arc Routing Problem,Multi-Depot Capacitated Arc Routing Problem,,,,CORBERAN A;PLANA I;SANCHIS JM,2008,THE WINDY GENERAL ROUTING POLYHEDRON: A GLOBAL VIEW OF MANY KNOWN ARC ROUTING POLYHEDRA,SIAM JOURNAL ON DISCRETE MATHEMATICS
"AMBERG A, 2000, EUR J OPER RES",MULTIPLE CENTER CAPACITATED ARC ROUTING PROBLEMS: A TABU SEARCH ALGORITHM USING CAPACITATED TREES,"IN THE CAPACITATED ARE ROUTING PROBLEM WITH MULTIPLE CENTERS (M-CARP) THE OBJECTIVE IS TO FIND ROUTES STARTING FROM THE GIVEN DEPOTS OR CENTERS SUCH THAT EACH REQUIRED ARE IS SERVED, CAPACITY (AND USUALLY ADDITIONAL) CONSTRAINTS ARE SATISFIED AND TOTAL TRAVEL COST IS MINIMIZED. IN THIS PAPER WE CONSIDER A HEURISTIC TRANSFORMATION OF THE M-CARP INTO A MULTIPLE CENTER CAPACITATED MINIMUM SPANNING TREE PROBLEM WITH ARE CONSTRAINTS, THAT WE CALL ARE-CONSTRAINED CMST. AN ALGORITHM FOR DETERMINING INITIAL FEASIBLE SOLUTIONS AS WELL AS AN IMPROVEMENT PROCEDURE FOR THIS PROBLEM ARE DESCRIBED AND THE ``RE-TRANSLATION'' OF",1,0,1,0,Multi-Depot Capacitated Arc Routing Problem,Multi-Depot Capacitated Arc Routing Problem,,,,WOHLK S,2008,A DECADE OF CAPACITATED ARC ROUTING,VEHICLE ROUTING PROBLEM: LATEST ADVANCES AND NEW CHALLENGES
"LIU T, 2014, FLEX SERV MANUF J",A GENETIC LOCAL SEARCH ALGORITHM FOR THE MULTI-DEPOT HETEROGENEOUS FLEET CAPACITATED ARC ROUTING PROBLEM,"THIS PAPER STUDIES THE MULTI-DEPOT HETEROGENEOUS FLEET CAPACITATED ARC ROUTING PROBLEM (MDHCARP), A PROBLEM WITH RARE RESEARCH IN THE PAST, BUT WITH MANY APPLICATIONS IN REAL LIFE. THE MDHCARP EXTENDS THE CAPACITATED ARC ROUTING PROBLEM (CARP) BY CONSIDERING BOTH THE MULTI-DEPOT CASE AND LIMITED HETEROGENEOUS FLEET CONSTRAINTS. WE PROPOSE A GENETIC LOCAL SEARCH (GLS) ALGORITHM FOR THE MDHCARP. THE GLS IS APPRAISED ON SIMPLIFIED MDHCARP CASES AND ON GENERAL MDHCARP INSTANCES FROM CARP FILES, AND COMPUTATIONAL RESULTS SHOW THAT THE GLS OUTPERFORMS AN EXTENDED MEMETIC ALGORITHM AND MEANWHILE THEY BOTH IMPROVE BEST-KNOWN SOLUTIONS OF THE SIMPLIFIED MDHCARP BENCHMARK CASES.",1,0,1,1,Multi-Depot Heterogeneous Capacitated Arc Routing Problem,Multi-Depot Heterogeneous Capacitated Arc Routing Problem,,,,CORBERAN A;PLANA I;SANCHIS JM,2007,A BRANCH \& CUT ALGORITHM FOR THE WINDY GENERAL ROUTING PROBLEM AND SPECIAL CASES,NETWORKS
"KRUSHINSKY D, 2015, EUR J OPER RES",AN APPROACH TO THE ASYMMETRIC MULTI-DEPOT CAPACITATED ARC ROUTING PROBLEM,"DESPITE THE FACT THAT THE CAPACITATED ARC ROUTING PROBLEMS (CARPS) RECEIVED SUBSTANTIAL ATTENTION IN THE LITERATURE, MOST OF THE RESEARCH CONCENTRATES ON THE SYMMETRIC AND SINGLE-DEPOT VERSION OF THE PROBLEM. IN THIS PAPER, WE FILL THIS GAP BY PROPOSING AN APPROACH TO SOLVING A MORE GENERAL VERSION OF THE PROBLEM AND ANALYSING ITS PROPERTIES. WE PRESENT AN MILP FORMULATION THAT ACCOMMODATES ASYMMETRIC MULTI-DEPOT CASE AND CONSIDER VALID INEQUALITIES THAT MAY BE USED TO TIGHTEN ITS LP RELAXATION. A SYMMETRY BREAKING SCHEME FOR A SINGLE-DEPOT CASE IS ALSO PROPOSED. AN EXTENSIVE NUMERICAL STUDY IS CARRIED TO INVESTIGATE THE PROPERTIES OF THE PROBLEM AND THE PROPOSED SOLUTION APPROACH. (C) 2015 ELSEVIER B.V. ALL RIGHTS RESERVED.",1,1,0,0,Multi-Depot Mixed Capacitated Arc Routing Problem,Multi-Depot Mixed Capacitated Arc Routing Problem,,,,BENAVENT E;CARROTTA A;CORBERAN A;SANCHIS JM;VIGO D,2007,LOWER BOUNDS AND HEURISTICS FOR THE WINDY RURAL POSTMAN PROBLEM,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH
"FUNG RYK, 2013, TRANSP RES PT E-LOGIST TRANSP REV",A MEMETIC ALGORITHM FOR THE OPEN CAPACITATED ARC ROUTING PROBLEM,"IN THIS PAPER, AN OPEN CAPACITATED ARC ROUTING PROBLEM (OCARP) IS DEFINED AND CONSIDERED. THE OCARP SEEKS TO FIND A SET OF MINIMUM-COST OPEN ROUTES THAT CAN SERVE THE TASKS (I.E., REQUIRED ARCS) OF A GIVEN GRAPH, SUBJECT TO THE VEHICLE CAPACITY AND TRAVEL DISTANCE. A MATHEMATICAL PROGRAMMING FORMULATION AND A LOWER BOUND ARE ESTABLISHED. AN EFFECTIVE MEMETIC ALGORITHM IS DEVELOPED FOR SOLVING THE OCARP. COMPUTATIONAL EXPERIMENTS DEMONSTRATE THAT THE PROPOSED ALGORITHM CAN PRODUCE HIGH QUALITY SOLUTIONS WITHIN A REASONABLE COMPUTATIONAL TIME SPAN, AND THE PROPOSED MEMETIC ALGORITHM IS SUPERIOR TO THE CLASSICAL GENETIC ALGORITHM IN SOLUTION QUALITY. (C) 2012 ELSEVIER LTD. ALL RIGHTS RESERVED.",1,1,1,1,Open Capacitated Arc Routing Problem,Open Capacitated Arc Routing Problem,,,,DENG X;ZHU Z;YANG Y;LI X;TIAN Y;XIA M,2007,A GENETIC ALGORITHM FOR THE CAPACITATED ARC ROUTING PROBLEM,"2007 IEEE INTERNATIONAL CONFERENCE ON AUTOMATION AND LOGISTICS, VOLS 1-6"
"ARAKAKI RK, 2018, COMPUT OPER RES",HYBRID GENETIC ALGORITHM FOR THE OPEN CAPACITATED ARC ROUTING PROBLEM,"THE OPEN CAPACITATED ARC ROUTING PROBLEM (OCARP) IS AN NP-HARD ARC ROUTING PROBLEM WHERE, GIVEN AN UNDIRECTED GRAPH, THE OBJECTIVE IS TO FIND THE LEAST COST SET OF ROUTES THAT SERVICES ALL EDGES WITH POSITIVE DEMAND (REQUIRED EDGES). THE ROUTES ARE SUBJECTED TO CAPACITY CONSTRAINTS IN RELATION TO EDGE DEMANDS. THE OCARP DIFFERS FROM THE CAPACITATED ARC ROUTING PROBLEM (CARP) SINCE OCARP DOES NOT CONSIDER A DEPOT AND ROUTES ARE NOT CONSTRAINED TO FORM CYCLES. A HYBRID GENETIC ALGORITHM WITH FEASIBILIZATION AND LOCAL SEARCH PROCEDURES IS PROPOSED FOR THE OCARP. COMPUTATIONAL EXPERIMENTS CONDUCTED ON A SET OF BENCHMARK INSTANCES REVEAL THAT THE PROPOSED HYBRID GENETIC ALGORITHM ACHIEVED THE BEST UPPER BOUNDS FOR ALMOST ALL INSTANCES. (C) 2017 ELSEVIER LTD. ALL RIGHTS RESERVED.",1,0,1,1,Open Capacitated Arc Routing Problem,Open Capacitated Arc Routing Problem,,,,ZHU Z;LI X;YANG Y;DENG X;XIA M;XIE Z;LIU J,2007,A HYBRID GENETIC ALGORITHM FOR THE MULTIPLE DEPOT CAPACITATED ARC ROUTING PROBLEM,"2007 IEEE INTERNATIONAL CONFERENCE ON AUTOMATION AND LOGISTICS, VOLS 1-6"
"USBERTI FL, 2011, COMPUT OPER RES",THE OPEN CAPACITATED ARC ROUTING PROBLEM,"THE OPEN CAPACITATED ARC ROUTING PROBLEM (OCARP) IS A NP-HARD COMBINATORIAL OPTIMIZATION PROBLEM WHERE, GIVEN AN UNDIRECTED GRAPH, THE OBJECTIVE IS TO FIND A MINIMUM COST SET OF TOURS THAT SERVICES A SUBSET OF EDGES WITH POSITIVE DEMAND UNDER CAPACITY CONSTRAINTS. THIS PROBLEM IS RELATED TO THE CAPACITATED ARC ROUTING PROBLEM (CARP) BUT DIFFERS FROM IT SINCE OCARP DOES NOT CONSIDER A DEPOT, AND TOURS ARE NOT CONSTRAINED TO FORM CYCLES. APPLICATIONS TO OCARP FROM LITERATURE ARE DISCUSSED. A NEW INTEGER LINEAR PROGRAMMING FORMULATION IS GIVEN, FOLLOWED BY SOME PROPERTIES OF THE PROBLEM. A REACTIVE PATH-SCANNING HEURISTIC, GUIDED BY A COST-DEMAND EDGE-SELECTION AND ELLIPSE RULES, IS PROPOSED AND COMPARED WITH OTHER SUCCESSFUL CARP PATH-SCANNING HEURISTICS FROM LITERATURE. COMPUTATIONAL TESTS WERE CONDUCTED USING A SET OF 411 INSTANCES, DIVIDED INTO THREE CLASSES ACCORDING TO THE TIGHTNESS OF THE NUMBER OF VEHICLES AVAILABLE, RESULTS REVEAL THE FIRST LOWER AND UPPER BOUNDS, ALLOWING TO PROVE OPTIMALITY FOR 133 INSTANCES. (C) 2011 ELSEVIER LTD. ALL RIGHTS RESERVED.",1,1,1,0,Open Capacitated Arc Routing Problem,Open Capacitated Arc Routing Problem,,,,AMAYA A;LANGEVIN A;TREPANIER M,2007,THE CAPACITATED ARC ROUTING PROBLEM WITH REFILL POINTS,OPERATIONS RESEARCH LETTERS
"MEI Y, 2011, IEEE TRANS SYST MAN CYBERN PART B-CYBERN",A MEMETIC ALGORITHM FOR PERIODIC CAPACITATED ARC ROUTING PROBLEM,"THIS PAPER INVESTIGATES THE PERIODIC CAPACITATED ARC ROUTING PROBLEM (PCARP), WHICH IS OFTEN ENCOUNTERED IN THE WASTE COLLECTION APPLICATION. PCARP IS AN EXTENSION OF THE WELL-KNOWN CAPACITATED ARC ROUTING PROBLEM (CARP) FROM A SINGLE PERIOD TO A MULTI-PERIOD HORIZON. PCARP IS A HIERARCHICAL OPTIMIZATION PROBLEM WHICH HAS A PRIMARY OBJECTIVE (MINIMIZING THE NUMBER OF VEHICLES MNV) AND A SECONDARY OBJECTIVE (MINIMIZING THE TOTAL COST TC). AN IMPORTANT FACTOR THAT MAKES PCARP CHALLENGING IS THAT ITS PRIMARY OBJECTIVE MNV IS LITTLE AFFECTED BY EXISTING OPERATORS AND THUS DIFFICULT TO IMPROVE. WE PROPOSE A NEW MEMETIC ALGORITHM (MA) FOR SOLVING PCARP. THE MA ADOPTS A NEW SOLUTION REPRESENTATION SCHEME AND A NOVEL CROSSOVER OPERATOR. MOST IMPORTANTLY, A ROUTE-MERGING (RM) PROCEDURE IS DEVISED AND EMBEDDED IN THE ALGORITHM TO TACKLE THE INSENSITIVE OBJECTIVE MNV. THE MA WITH RM (MARM) HAS BEEN COMPARED WITH EXISTING META-HEURISTIC APPROACHES ON TWO PCARP BENCHMARK SETS AND A REAL-WORLD DATA SET. THE EXPERIMENTAL RESULTS SHOW THAT MARM OBTAINED BETTER SOLUTIONS THAN THE COMPARED ALGORITHMS IN MUCH LESS TIME, AND EVEN UPDATED THE BEST KNOWN SOLUTIONS OF ALL THE BENCHMARK INSTANCES. FURTHER STUDY REVEALS THAT THE RM PROCEDURE PLAYS A KEY ROLE IN THE SUPERIOR PERFORMANCE OF MARM.",1,0,1,1,Periodic Capacitated Arc Routing Problem,Periodic Capacitated Arc Routing Problem,0,Minimise fleet size,,BELENGUER JM;BENAVENT E;LACOMME P;PRINS C,2006,LOWER AND UPPER BOUNDS FOR THE MIXED CAPACITATED ARC ROUTING PROBLEM,COMPUTERS \& OPERATIONS RESEARCH
"CHU F, 2005, EUR J OPER RES",A SCATTER SEARCH FOR THE PERIODIC CAPACITATED ARC ROUTING PROBLEM,"THIS PAPER CONSIDERS THE PERIODIC CAPACITATED ARC ROUTING PROBLEM (PCARP), A NATURAL EXTENSION OF THE WELL-KNOWN CARP TO A MULTI-PERIOD HORIZON. ITS OBJECTIVE IS TO ASSIGN A SET OF SERVICE DAYS TO EACH EDGE IN A GIVEN NETWORK AND TO SOLVE THE RESULTING CARP FOR EACH PERIOD, IN ORDER TO MINIMIZE THE REQUIRED FLEET SIZE AND THE TOTAL COST OF THE TRIPS ON THE HORIZON. THIS NEW AND VERY HARD PROBLEM HAS VARIOUS APPLICATIONS IN PERIODIC OPERATIONS ON STREET NETWORKS, LIKE WASTE COLLECTION AND SWEEPING. A GREEDY HEURISTIC AND A SCATTER SEARCH (SS) ARE DEVELOPED AND EVALUATED ON TWO SETS OF PCARP INSTANCES DERIVED FROM CLASSICAL CARP BENCHMARKS. THE RESULTS SHOW THAT THE SS STRONGLY IMPROVES ITS INITIAL SOLUTIONS AND CLEARLY OUTPERFORMS THE GREEDY HEURISTIC. PRELIMINARY LOWER BOUNDS ARE ALSO PROVIDED. AS THEY ARE NOT SUFFICIENTLY TIGHT, THE SS IS ALSO TESTED IN THE SINGLE-PERIOD CASE (CARP) FOR WHICH TIGHT BOUNDS ARE AVAILABLE: IN FACT, IT COMPETES WITH ONE STATE-OF-THE-ART METAHEURISTIC PROPOSED FOR THE CARP. (C) 2004 ELSEVIER B.V. ALL RIGHTS RESERVED.",1,0,1,0,Periodic Capacitated Arc Routing Problem,Periodic Capacitated Arc Routing Problem,,Minimise fleet size,,WOHLK S,2006,NEW LOWER BOUND FOR THE CAPACITATED ARC ROUTING PROBLEM,COMPUTERS \& OPERATIONS RESEARCH
"LACOMME P, 2005, EUR J OPER RES",EVOLUTIONARY ALGORITHMS FOR PERIODIC ARC ROUTING PROBLEMS,"THE CAPACITATED ARC ROUTING PROBLEM (CARP) INVOLVES THE ROUTING OF VEHICLES TO TREAT A SET OF ARCS IN A NETWORK. IN MANY APPLICATIONS, THE TRIPS MUST BE PLANNED OVER A MULTIPERIOD HORIZON, GIVING A NEW PROBLEM CALLED PERIODIC CARP (PCARP). THE PAPER DESCRIBES SEVERAL VERSIONS ENCOUNTERED IN PRACTICE AND SUGGESTS A SIMPLE CLASSIFICATION, ENABLING THE DEFINITION OF A VERY GENERAL PCARP. FOR INSTANCE, THE DEMAND FOR EACH ARC TREATMENT MAY DEPEND ON THE PERIOD OR ON THE DATE OF THE PREVIOUS VISIT. THE PROPOSED SOLUTION METHOD IS A MEMETIC ALGORITHM BASED ON A SOPHISTICATED CROSSOVER, ABLE TO SIMULTANEOUSLY CHANGE TACTICAL (PLANNING) DECISIONS, SUCH AS THE TREATMENT DAYS OF EACH ARC, AND OPERATIONAL (SCHEDULING) DECISIONS, SUCH AS THE TRIPS PERFORMED FOR EACH DAY. TWO VERSIONS ARE APPRAISED ON TWO SETS OF PCARP INSTANCES DERIVED FROM STANDARD CARP FILES. THE RESULTS SHOW SIGNIFICANT SAVINGS COMPARED TO ONE INSERTION HEURISTIC AND A MORE ELABORATE TWO-PHASE METHOD. (C) 2004 ELSEVIER B.V. ALL RIGHTS RESERVED.",1,0,1,1,Periodic Capacitated Arc Routing Problem,Periodic Capacitated Arc Routing Problem,,,,LACOMME P;PRINS C;SEVAUX M,2006,A GENETIC ALGORITHM FOR A BI-OBJECTIVE CAPACITATED ARC ROUTING PROBLEM,COMPUTERS \& OPERATIONS RESEARCH
"CHU F, 2005, J INTELL MANUF",HEURISTICS FOR THE PERIODIC CAPACITATED ARC ROUTING PROBLEM,"THE CAPACITATED ARC ROUTING PROBLEM (CARP) INVOLVES THE ROUTING OF VEHICLES TO SERVICE A SET OF ARCS IN A NETWORK. THIS NP-HARD PROBLEM IS EXTENDED TO A MULTIPERIOD HORIZON, GIVING A NEW TACTICAL PROBLEM CALLED THE PERIODIC CARP (PCARP). THIS PROBLEM ACTUALLY OCCURS IN MUNICIPAL WASTE COLLECTION. ITS OBJECTIVE IS TO ASSIGN ARCS TO PERIODS AND TO COMPUTE THE TRIPS IN EACH PERIOD, TO MINIMIZE AN OVERALL COST ON THE HORIZON. AN INTEGER LINEAR PROGRAM, TWO INSERTION HEURISTICS AND A TWO-PHASE HEURISTIC ARE DEVELOPED. THESE VERY FIRST ALGORITHMS FOR THE PCARP ARE EVALUATED ON PCARP INSTANCES DERIVED FROM STANDARD CARP BENCHMARKS FROM LITERATURE: THE INSERTION HEURISTICS ARE VERY FAST BUT THE TWO-PHASE METHOD YIELDS BETTER SOLUTION COSTS.",1,0,1,0,Periodic Capacitated Arc Routing Problem,Periodic Capacitated Arc Routing Problem,,,,CORBERAN A;PLANA I;SANCHIS JM,2006,ZIGZAG INEQUALITIES: A NEW CLASS OF FACET-INDUCING INEQUALITIES FOR ARC ROUTING PROBLEMS,MATHEMATICAL PROGRAMMING
"ZHANG Y, 2017, APPL SOFT COMPUT",MEMETIC ALGORITHM WITH ROUTE DECOMPOSING FOR PERIODIC CAPACITATED ARC ROUTING PROBLEM,"IN THIS PAPER,HE PERIODIC CAPACITATED ARC ROUTING PROBLEM (PCARP) IS INVESTIGATED. PCARP IS AN EXTENSIONOF THE WELL-KNOWN CARP FROM A SINGLE PERIOD TO A MULTI-PERIOD HORIZON. IN PCARP, TWO OBJECTIVES ARE TOBE MINIMIZED. ONE IS THE NUMBER OF REQUIRED VEHICLES (NV), AND THE OTHER IS THE TOTAL COST (TC). DUE TO THE MULTI-PERIOD NATURE, GIVEN THE SAME GRAPH OR ROAD NETWORK, PCARP CAN HAVE A MUCH LARGER SOLUTION SPACE THAN THE SINGLE-PERIOD CARP COUNTERPART. FURTHERMORE, PCARP CONSISTS OF AN ADDITIONAL ALLOCATION SUB-PROBLEM (OF THE DAYS TO SERVE THE ARCS), WHICH IS INTERDEPENDENT WITH THE ROUTING SUB-PROBLEM. ALTHOUGH SOME ATTEMPTS HAVE BEEN MADE FOR SOLVING PCARP, MORE INVESTIGATIONS ARE YET TO BE DONE TO FURTHER IMPROVE THEIR PERFORMANCE ESPECIALLY ON LARGE-SCALE PROBLEM INSTANCES. IT HAS BEEN SHOWN THAT OPTIMIZING NV AND TC SEPARATELY (HIERARCHICALLY) IS A GOOD WAY OF DEALING WITH THE TWO OBJECTIVES. IN THIS PAPER, WE FURTHER IMPROVE THIS STRATEGY AND PROPOSE A NEW ROUTE DECOMPOSITION (RD) OPERATORTHEREBY. THEN, THE RD OPERATOR IS INTEGRATED INTO A MEMETIC ALGORITHM (MA) FRAMEWORK FOR PCARP, IN WHICH NOVEL CROSSOVER AND LOCAL SEARCH OPERATORS ARE DESIGNED ACCORDINGLY. IN ADDITION, TO IMPROVE THE SEARCH EFFICIENCY, A HYBRIDIZED INITIALIZATION IS EMPLOYED TO GENERATE AN INITIAL POPULATION CONSISTING OF BOTH HEURISTIC AND RANDOM INDIVIDUALS. THE MA WITH RD (MARD) WAS EVALUATED AND COMPARED WITHTHE STATE-OF-THE-ART APPROACHES ON TWO BENCHMARK SETS OF PCARP INSTANCES AND A LARGE DATA SET WHICH IS BASED ON A REAL-WORLD ROAD NETWORK. THE EXPERIMENTAL RESULTS SUGGEST THAT MARD OUTPERFORMS THE COMPARED STATE-OF-THE-ART ALGORITHMS, AND IMPROVES MOST OF THE BEST-KNOWN SOLUTIONS. THE ADVANTAGE OF MARD BECOMES MORE OBVIOUS WHEN THE PROBLEM SIZE INCREASES. THUS, MARD IS PARTICULARLY EFFECTIVE IN SOLVING LARGE-SCALE PCARP INSTANCES. MOREOVER, THE EFFICACY OF THE PROPOSED RD OPERATOR IN MARD HAS BEEN EMPIRICALLY VERIFIED. (C) 2016 ELSEVIER B.V. ALL RIGHTS RESERVED.",1,0,1,1,Periodic Capacitated Arc Routing Problem,Periodic Capacitated Arc Routing Problem,,Bi-objective,,LONGO H;DE ARAGAO MP;UCHOA E,2006,SOLVING CAPACITATED ARC ROUTING PROBLEMS USING A TRANSFORMATION TO THE CVRP,COMPUTERS \& OPERATIONS RESEARCH
"HUANG SH, 2012, AUTOM CONSTR",MULTI-TREATMENT CAPACITATED ARC ROUTING OF CONSTRUCTION MACHINERY IN TAIWAN'S SMOOTH ROAD PROJECT,"THIS STUDY INVESTIGATES THE ROUTING PROBLEMS OF ROAD RESURFACING IN TAIWAN'S SMOOTH ROAD PROJECT, INCORPORATING MULTIPLE TREATMENTS SERVED BY DIFFERENT CONSTRUCTION MACHINERY IN A WAY THAT PROPAGATES EXTRA TIME WINDOW CONSTRAINTS TO ENSURE THAT A SUBSEQUENT TREATMENT STARTS AFTER THE REQUIRED PRECEDING TREATMENT HAS STARTED OR BEEN COMPLETED. THE ROUTING PROBLEM IS MODELED AS A MULTI-TREATMENT CAPACITATED ARC ROUTING PROBLEM WITH TIME WINDOWS (MTCARPTW) IN ORDER TO DETERMINE A SET OF TRIPS AT A MINIMUM TOTAL COST THAT COVERS ALL REQUIRED LINKS OF ROAD RESURFACING WORK. THE MTCARPTW IS FIRST TRANSFORMED INTO A TRAVELING SALESMAN PROBLEM (TSP), THEN, A HEURISTICS METHOD BASED ON ANT COLONY OPTIMIZATION (ACO) IS APPLIED AND EVALUATED BASED ON THE SET OF GIVEN CIRCUMSTANCES. THE COMPUTATIONAL RESULTS INDICATE THAT THE PROPOSED ALGORITHM IS EFFICIENT. THIS RESEARCH CONTRIBUTES TO IDENTIFYING A NEW ROUTING PROBLEM, MODELING THIS MTCARPTW, AND INTRODUCING THE ACO TO SOLVE THE PROBLEM EFFICIENTLY. (C) 2011 ELSEVIER B.V. ALL RIGHTS RESERVED.",1,0,1,0,Periodic Capacitated Arc Routing Problem,Periodic Capacitated Arc Routing Problem,,,,SNIEZEK J;BODIN L,2006,USING MIXED INTEGER PROGRAMMING FOR SOLVING THE CAPACITATED ARC ROUTING PROBLEM WITH VEHICLE/SITE DEPENDENCIES WITH AN APPLICATION TO THE ROUTING OF RESIDENTIAL SANITATION COLLECTION VEHICLES,ANNALS OF OPERATIONS RESEARCH
